Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area_3,Wilderness_Area_4,Soil_Type_1,Soil_Type_2,Soil_Type_3,Soil_Type_4,Soil_Type_5,Soil_Type_6,Soil_Type_10,Soil_Type_11,Soil_Type_13,Soil_Type_14,Soil_Type_16,Soil_Type_17,Soil_Type_20,Soil_Type_32,Soil_Type_33,Cover_Type
2248,303,31,95,37,1342,120,208,220,691,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2515,76,15,234,70,390,238,210,99,1006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2615,105,9,283,70,1650,236,229,123,1809,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1940,24,43,42,32,67,160,114,58,319,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2493,326,29,335,90,1116,135,193,189,872,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2290,324,20,255,120,644,167,215,186,433,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
2578,250,12,408,118,2356,194,248,192,443,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2285,243,20,42,5,541,176,252,209,1724,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2697,151,15,391,63,2296,238,239,127,2352,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2545,193,27,85,29,1209,206,249,162,1339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2494,102,17,108,21,1624,246,216,93,664,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2353,329,18,30,13,400,173,215,180,828,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2650,127,5,446,102,616,228,237,143,1364,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2780,183,33,351,152,3037,208,240,140,1473,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2077,99,18,272,157,295,247,211,86,564,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2406,146,5,170,-10,691,227,239,146,994,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2510,212,26,30,10,1261,187,253,189,484,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2645,126,21,240,66,1590,249,221,90,1048,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2530,128,14,339,75,361,243,230,113,492,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
